iteration,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
10,"{'num_layers': 1, 'units_per_layer': 102, 'activation': 1, 'learning_rate': 0.0028725557052347835, 'batch_size': 64, 'dropout_rate': 0.16760684569952655, 'l2_reg_strength': 2.329289856348219e-06}",bayesian,0.26198837455113727,0.36477387881278994,92.56666666666666,88.0,11.583664655685425,135.23021697998047
11,"{'num_layers': 1, 'units_per_layer': 85, 'activation': 2, 'learning_rate': 0.07379697943698504, 'batch_size': 32, 'dropout_rate': 0.357270153779336, 'l2_reg_strength': 0.0021931344563109836}",bayesian,0.2318236557642619,0.3303465781211853,93.63333333333334,89.0,12.213634252548218,147.4438512325287
12,"{'num_layers': 1, 'units_per_layer': 60, 'activation': 1, 'learning_rate': 0.004634301767254012, 'batch_size': 16, 'dropout_rate': 0.1007080175555071, 'l2_reg_strength': 5.859855214518763e-07}",bayesian,0.212812948346138,0.2972812340259552,93.4,91.2,14.40923810005188,161.85308933258057
13,"{'num_layers': 1, 'units_per_layer': 46, 'activation': 1, 'learning_rate': 0.0001106413706109367, 'batch_size': 16, 'dropout_rate': 0.4233003117569745, 'l2_reg_strength': 0.0018615526817467073}",bayesian,0.7308459285100302,0.4738054065704346,75.16666666666667,86.0,14.205727100372314,176.05881643295288
14,"{'num_layers': 1, 'units_per_layer': 110, 'activation': 1, 'learning_rate': 0.0009419083683374735, 'batch_size': 16, 'dropout_rate': 0.22766352472150575, 'l2_reg_strength': 4.3854523545685023e-07}",bayesian,0.2530734416345755,0.29790156257152556,92.2,91.6,15.618399143218994,191.67721557617188
15,"{'num_layers': 1, 'units_per_layer': 66, 'activation': 2, 'learning_rate': 0.23565352851978313, 'batch_size': 16, 'dropout_rate': 0.22711659678843293, 'l2_reg_strength': 0.0011441696684348604}",bayesian,0.20330570113658905,0.3299760110974312,93.8,90.4,14.020263433456421,205.6974790096283
16,"{'num_layers': 3, 'units_per_layer': 108, 'activation': 1, 'learning_rate': 0.0036580438222472375, 'batch_size': 16, 'dropout_rate': 0.45157335242714064, 'l2_reg_strength': 5.1903786211461595e-06}",bayesian,0.6799919543266296,0.4954621813297272,78.06666666666666,87.0,17.70774221420288,223.40522122383118
17,"{'num_layers': 1, 'units_per_layer': 48, 'activation': 2, 'learning_rate': 0.0012723782773831922, 'batch_size': 256, 'dropout_rate': 0.5098636624956338, 'l2_reg_strength': 6.477257199678616e-07}",bayesian,0.5352567325433095,0.5394727478027344,87.23333333333333,86.6,10.165197610855103,233.57041883468628
18,"{'num_layers': 2, 'units_per_layer': 107, 'activation': 2, 'learning_rate': 0.0004024476722290745, 'batch_size': 32, 'dropout_rate': 0.3591147074175033, 'l2_reg_strength': 1.4270453214941434e-06}",bayesian,0.273033351679643,0.34188336849212647,92.23333333333333,90.2,12.625701189041138,246.19612002372742
19,"{'num_layers': 1, 'units_per_layer': 101, 'activation': 1, 'learning_rate': 0.0004358399974529388, 'batch_size': 32, 'dropout_rate': 0.4139607894096801, 'l2_reg_strength': 2.0168199004646204e-07}",bayesian,0.3433787443637848,0.33322938418388365,89.93333333333334,90.2,12.292019605636597,258.488139629364
